,target
1398,12.764896691549238
1399,11.965191458356623
1400,11.070972705490613
1401,11.063978578250103
1402,10.396505557652153
1405,16.316114360284487
1406,15.70420797237656
1407,15.053950583944458
1408,14.052655628914298
1409,14.219815660192362
1410,12.931817695007267
1411,12.524144485555768
1414,10.414393173102289
1415,10.599854543937271
1416,9.570180302058072
1417,14.092360170601514
1418,15.319368375079144
1419,15.183059312944236
1420,14.769047362363835
1423,13.494121397686113
1424,14.11205177207938
1425,14.876231968855947
1426,14.824504073337486
1427,15.14126027844415
1428,15.018175607551619
1429,14.472257204923604
1432,16.74729080502575
1433,16.2058729845283
1434,15.53135503875226
1435,15.064209565459647
1436,14.306694541474975
1437,13.285790894011797
1438,13.153348346652097
1441,17.372815646084383
1442,16.674506995860174
1443,16.370274605428744
1444,16.462221523641222
1445,16.054348922936494
1446,15.555257351304926
1447,15.20259910363611
1450,14.214945521239395
1451,13.22005617107406
1452,13.00723531418745
1453,12.9242977302998
1454,12.245721151782321
1455,11.033113894733408
1456,11.737332218108964
1459,16.586637274494347
1460,16.212166426654953
1461,15.70206037493768
1462,15.24264091350642
1463,14.962011016825944
1464,14.556811986255932
1465,14.442766302610037
1468,11.487299917331256
1469,11.210603415778932
1470,9.789198406134
1471,18.007830079642844
1472,17.23795902720127
1473,16.65438900147022
1474,16.344195946792123
1477,11.977131068100993
1478,11.470341502428932
1479,12.45931077786094
1480,12.254815189518164
1481,11.5375595392619
1482,11.302142703354239
1483,10.918863149300437
1486,13.331516720538751
1487,12.943385025866627
1488,12.457391518245648
1489,12.48384073646814
1490,11.448653574950088
1491,10.424124883686112
1492,13.662135577204689
1495,12.545462051643414
1496,13.569546078864361
1497,13.910132319044614
1498,13.437124480976006
1499,12.873201772991436
1500,12.54082554779995
1501,11.917330010881072
1504,14.9589843513344
1505,14.707717591821945
1506,14.316091887674148
1507,14.237696425104408
1508,13.811905065982666
1509,12.746322110974631
1510,11.43394719058652
1522,15.585902696385839
1523,15.091286401554424
1524,15.192613053023841
1525,14.70497177569938
1526,14.410717402890505
1527,14.066364213439027
1528,13.822175299154448
1540,12.751473593935854
1541,11.865931687372433
1542,11.338238688924212
1543,10.806247150125932
1544,10.283053487118604
1545,9.893992617974327
1546,9.177507214880942
1549,14.374609069278067
1550,13.976880828005296
1551,13.479848992660257
1552,13.032939638462526
1553,12.72173356041173
1554,12.417831637977745
1555,12.101356366751642
1567,8.842026529498812
1568,12.537568233438163
1569,11.287003056205583
1570,11.18271160379947
1571,10.934177824718779
1572,13.72072504050059
1573,13.311302986499859
1585,13.117798976356735
1586,13.376715631261643
1587,13.64222089058326
1588,13.694275822038668
1589,14.006222648902666
1590,13.940133260789171
1591,13.38988968021251
1594,15.138675804266727
1595,15.052525895114822
1596,14.779340004604943
1597,14.539166089801352
1598,14.004043616708408
1599,13.281883615317241
1600,12.840148996513067
1612,15.253221868326138
1613,15.169121848896243
1614,14.199245943119625
1615,13.123197029819572
1616,11.88839861036973
1617,11.019972502738868
1618,11.964720570661
1621,13.355427160108821
1622,13.086993161562319
1623,13.462261168679401
1624,13.27961837669923
